Paper no,Paper name,The adopted data handling techniques,Year,Dataset Category
36,"PassionNet: An Innovative Framework for Duplicate and Conflicting Requirements Identification
Summra Saleem, Muhammad Nabeel Asim, Andreas Dengel
arXiv.org
·
2024
·
0 citations","1. Evaluating the PassionNet framework on 6 publicly available benchmark datasets, including 2 duplicate requirements datasets and 4 conflicting requirements datasets.
2. Providing statistics about the datasets, such as total number of samples, class distribution, vocabulary size, and requirement lengths.
3. Using Optuna to perform an extensive hyperparameter search to identify the optimal hyperparameters for the ML classifiers and LLM predictive pipelines.",2024,Open source-data
37,"Refactoring goal-oriented models: a linguistic improvement using large language models
Nouf Alturayeif, Jameleddine Hassine, B Jameleddine Hassine
Journal of Software and Systems Modeling
·
2025
·
0 citations",Not mentioned (this paper does not mention anything about the adopted data handling techniques for re-related datasets used in llms),2025,Collected dataset
38,"An empirical study on LLM-based classification of requirements-related provisions in food-safety regulations
Shabnam Hassani, Mehrdad Sabetzadeh, Daniel Amyot, Walid Maalej, B Mehrdad Sabetzadeh
Empirical Software Engineering
·
2025
·
1 citation","Sentence splitting using SpaCy
 Experimenting with various BERT and GPT models, fine-tuning them using Optuna, OpenAI API, and other libraries
 Implementing BiLSTM and keyword-based baselines
 Using PyTorch, Keras, and GloVe for the baseline models",2025,Open source-data
39,"A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs
Muhammad Ilyas Azeem, Sallam Abualhaija, Daniel Méndez
Empirical Software Engineering
·
2023
·
5 citations","1. Manual annotation of 169 DPAs by 3 legal experts, who labeled 12% of the 31,185 sentences as satisfying GDPR provisions.
2. Splitting the dataset, with 70% used for training the solutions and 30% used for evaluation.",2023,Collected dataset
40,"Automated requirement contradiction detection through formal logic and LLMs
Alexander Elenga Gärtner, Dietmar Göhlich
International Conference on Automated Software Engineering
·
2024
·
2 citations","1. Compiling a custom dataset (Dataset 1) specifically for developing and testing the proposed method.
2. Obtaining real-world datasets (Datasets 2 and 3) from an industrial electric bus system development project.
3. Anonymizing the real-world datasets to address confidentiality concerns before making them available.
4. Acknowledging the inherent imbalance in the datasets, where the majority of requirements do not contradict each other, as a characteristic of authentic real-world datasets.",2024,Industrial Dataset
41,"LePB-SA4RE: A Lexicon-Enhanced and Prompt-Tuning BERT Model for Evolving Requirements Elicitation from App Reviews
Luis Javier, Garcia Villalba, Zhiquan An, Hongyan Wan, Teng Xiong, Bangchao Wang
Applied Sciences
·
2025
·
0 citations","1. Minimal preprocessing, focusing on removing non-alphabetic characters and consolidating redundant spaces to preserve the semantic integrity of the original text.
2. Using the BERT-base-uncased model, which is case-insensitive, and leveraging the built-in WordPiece tokenizer to maintain lexical processing consistency and maximize model performance.
3. Avoiding additional preprocessing techniques like stemming or external word embeddings, as the primary objective of the BERT model is to understand word meanings in context, and such techniques may have negative impacts on the model's performance.",2025,Collected dataset
42,"NL2CTL: Automatic Generation of Formal Requirements Specifications via Large Language Models
Mengyan Zhao, Ran Tao, Yanhong Huang, Jianqi Shi, Shengchao Qin, Yang Yang
IEEE International Conference on Formal Engineering Methods
·
2024
·
0 citations","1. Using pre-trained LLMs, specifically GPT-3.5, to assist in creating the dataset for fine-tuning the T5-Large model.
2. Generating a dataset of 3,000 NL-CTL pairs using a random generation algorithm and prompt engineering with GPT-3.5.
3. Using a ""lifted"" version of the NL and CTL data, where all atomic propositions were hidden, to enhance the generality of the dataset.",2024,Constructed Dataset
43,"Establishing Traceability Between Natural Language Requirements and Software Artifacts by Combining RAG and LLMs
Syed Juned Ali, Varun Naganathan, Dominik Bork
International Conference on Conceptual Modeling
·
2024
·
1 citation","1. LLM-based code summary generation to address the lack of informative docstrings in the code
2. Creation of a keyword index for the code documents, including preprocessing steps like stemming and stopword removal
3. Creation of a vector index using a multilingual embedding model to handle the multilingual nature of the dataset
4. Creation of a knowledge graph index based on the function dependency graph of the codebase, capturing the structural relationships between classes and methods",2024,Collected dataset
44,"Using Language Models for Enhancing the Completeness of Natural-Language Requirements
Dipeeka Luitel, Shabnam Hassani, Mehrdad Sabetzadeh, S Luitel, Hassani
Requirements Engineering: Foundation for Software Quality
·
2023
·
10 citations","We have implemented our approach in Python. The NLP pipeline is implemented using SpaCy 3.2.2. For extracting word embeddings, we use GloVe [13].

To obtain masked language model predictions from BERT, we use the Transformers 4.16.2 library by Hugging Face (https://huggingface.co/) and operated in PyTorch 1.10.2+cu113. Our ML-based filters are implemented in WEKA 3-8-5 [23]. To implement the ML features listed in Table 1 , we use standard implementations of cosine similarity (over word embeddings) and Levenshtein distance [24]. The TFIDF-based features in this table (F12-13) use TfidfVectorizer from scikit-learn 1.0.2. Our implementation and evaluation artifacts are publicly available [8].
Our evaluation is based on 40 documents from the PURE dataset [1] -a collection of public-domain requirements specifications. Many of the documents in PURE require manual cleanup (e.g., removal of table of contents, headers, section markers, etc.) We found 40 to be a good compromise between the effort that we needed to spend on cleanup and having a dataset large enough for statistical significance testing, mitigating the effects of random variation, and training ML-based filters. ",2023,Open source-data
45,"ARIA-QA: AI-agent based requirements inspection and analysis through question answering
Chitrak Biswas, Souvick Das
Innovations in Systems and Software Engineering
·
2024
·
0 citations",Not mentioned (the paper does not provide any information about the specific data handling techniques used in the research),2024,Collected dataset
46,"Goal Model Extraction from User Stories Using Large Language Models
Vaishali Siddeshwar, Sanaa Alwidian, Masoud Makrehchi
Quality of Information and Communications Technology
·
2024
·
0 citations",Not mentioned (the paper does not provide details on the specific data handling techniques used in this research),2024,Collected dataset
47,"Can Large Language Models (LLMs) Compete with Human Requirements Reviewers? -Replication of an Inspection Experiment on Requirements Documents
Daniel Seifert, Lisa Jöckel, Adam Trendowicz, Marcus Ciolkowski, Thorsten Honroth, Andreas Jedlitschka
International Conference on Product Focused Software Process Improvement
·
2024
·
0 citations",Not mentioned (the paper does not mention any specific data handling techniques used in the study),2024,Collected dataset
48,"Towards Taming Large Language Models with Prompt Templates for Legal GRL Modeling
Sybren De Kinderen, Karolin Winter
BPMDS/EMMSAD@CAiSE
·
2024
·
1 citation","The experiments are performed on two different datasets for which we establish a baseline against which to judge the LLM experiment results. The baseline comprises, both, the Legal GRL model, but also the intermediate Hohfeldian analysis. ",2024,Collected dataset
49,"Evaluating Generative Language Models with Prompt Engineering for Categorizing User Stories to its Sector Domains
Batool Alawaji, Mona Hakami, Bader Alshemaimri
2024 IEEE 9th International Conference for Convergence in Technology (I2CT)
·
2024
·
1 citation","1. The dataset used was the publicly available smart home requirements dataset collected as part of Crowd-RE research, consisting of 2,966 crowd-generated user stories. 2. The user stories in the dataset were preprocessed by concatenating the role, feature, and benefit components of each story into a complete user story. 3. This complete user story was then passed to the LLMs for categorization experiments.",2024,Open source-data
50,"Generating Specifications from Requirements Documents for Smart Devices Using Large Language Models (LLMs)
Rainer Lutze, Klemens Waldhör
Interacción
·
2024
·
2 citations",Not mentioned (the paper does not mention the specific data handling techniques used by the llms in this study),2024,Collected dataset
51,"Early Results of an AI Multiagent System for Requirements Elicitation and Analysis
Malik Abdul Sami, Muhammad Waseem, Zheying Zhang, Zeeshan Rasheed, Kari Systä, Pekka Abrahamsson
International Conference on Product Focused Software Process Improvement
·
2024
·
1 citation",Not mentioned (the paper does not provide details on the specific data handling techniques used in the study),2024,Collected dataset
52,"Could a Large Language Model Contribute Significantly to Requirements Analysis?
Steven Alter
BPMDS/EMMSAD@CAiSE
·
2024
·
1 citation",Not mentioned (the paper does not mention any specific data handling techniques used in the research),2024,Collected dataset
