Paper no,Paper name,The optimization and assessment strategies,Year,Techniques Found
42,"NL2CTL: Automatic Generation of Formal Requirements Specifications via Large Language Models
Mengyan Zhao, Ran Tao, Yanhong Huang, Jianqi Shi, Shengchao Qin, Yang Yang
IEEE International Conference on Formal Engineering Methods
·
2024
·
0 citations","1. Generating an NL-CTL dataset using a random generation algorithm and prompt engineering with LLMs to address the lack of available data.
2. Fine-tuning the T5-Large model using the generated NL-CTL dataset to enhance its generative capacity.
3. Using the GPT-3.5 Atomic Proposition (AP) Recognition method to improve the generalization of the model across different domains.
4. Experimentally evaluating the fine-tuned LLM and the prompted LLM, and finding that the fine-tuned LLM achieved significantly higher accuracy (46.4%) compared to the prompted LLM (2%), demonstrating the feasibility of the proposed approach.",2024,Others
43,"Establishing Traceability Between Natural Language Requirements and Software Artifacts by Combining RAG and LLMs
Syed Juned Ali, Varun Naganathan, Dominik Bork
International Conference on Conceptual Modeling
·
2024
·
1 citation","1. A Retrieval Augmented Generation (RAG)-based approach to improve requirements traceability by bridging the gap between high-level requirements and source code.
2. Evaluation of the impact of different parameters that influence the quality of the RAG index, as this is a key factor in the performance of the LLM-based approach.
3. Comparative analysis of the RAG-based approach against conventional methods, as well as different indexing strategies and parameterizations.",2024,Retrieval Augmented Generation (RAG)
44,"Using Language Models for Enhancing the Completeness of Natural-Language Requirements
Dipeeka Luitel, Shabnam Hassani, Mehrdad Sabetzadeh, S Luitel, Hassani
Requirements Engineering: Foundation for Software Quality
·
2023
·
10 citations","1. Filtering out BERT predictions that are already present in the disclosed part of the requirements specification, in order to reduce noise.
2. Applying a machine learning-based filter to further reduce noise and strike a better balance between useful and non-useful predictions.
3. Making the implementation and evaluation artifacts publicly available to facilitate replication and further research.",2023,Others
45,"ARIA-QA: AI-agent based requirements inspection and analysis through question answering
Chitrak Biswas, Souvick Das
Innovations in Systems and Software Engineering
·
2024
·
0 citations","Throughout this process, we employ the RAGAS framework [7] to evaluate the effectiveness of the RAG mechanism implemented within our framework. Leveraging state-ofthe-art LLMs, such as OpenAI's GPT-4 [22] or Anthropic's Claude [3], as evaluative judges have been studied by Zheng et al. [35]. The framework scrutinizes the quality of RAG components by incorporating LLM as a judge for the ground truth creation. 
Table 2 presents the evaluation results of the RAG pipeline utilized in the framework. We experimented with three LLMs: i) LLaMA-2, ii) Mixtral 8x7B, and iii) ChatGPT.",2024,Retrieval Augmented Generation (RAG)
46,"Goal Model Extraction from User Stories Using Large Language Models
Vaishali Siddeshwar, Sanaa Alwidian, Masoud Makrehchi
Quality of Information and Communications Technology
·
2024
·
0 citations","Our technique introduces a novel approach to generate goal models from LLMs, unlike typical single-prompt method. It employs a seven-step iterative prompting strategy combined with few-shot learning. Inspired by chain-of-thought prompting, this technique breaks down complex problems into manageable steps, enhancing the LLM's ability to tackle a complex task effectively [13]. 
To evaluate, ten GRL models were randomly selected from the literature, where these models are well-validated. The data adopted from the literature included GRL models and snippets of requirements in natural language which the authors transformed them into the format of user stories. The user stories, their sources, and their goal models are available (See footnote 1). This aids a swift evaluation of the methodology without involving human experts.

Two assessments were carried out in order to address the second research question. The first assessment examines the syntactic distinctions between the ground-truth GRL models and the generated outputs, whereas, the second evaluates the semantic similarities between the models.",2024,"Chain of Thought (CoT), Few-shot prompting, Prompt templates and role-based prompts"
47,"Can Large Language Models (LLMs) Compete with Human Requirements Reviewers? -Replication of an Inspection Experiment on Requirements Documents
Daniel Seifert, Lisa Jöckel, Adam Trendowicz, Marcus Ciolkowski, Thorsten Honroth, Andreas Jedlitschka
International Conference on Product Focused Software Process Improvement
·
2024
·
0 citations","The paper describes the study design and methodology used to evaluate the performance of LLMs in detecting defects in requirements documents, which can be considered an assessment strategy. This includes examining different prompting strategies, comparing the performance of different LLMs, and comparing the LLMs' defect detection performance to that of human reviewers.",2024,Others
48,"Towards Taming Large Language Models with Prompt Templates for Legal GRL Modeling
Sybren De Kinderen, Karolin Winter
BPMDS/EMMSAD@CAiSE
·
2024
·
1 citation","1. Using prompt templates to structure the prompts and manage the LLM's output, including the Template Pattern, Persona Pattern, and Context Manager Pattern. 2. Manually evaluating the LLM's outputs to determine precision and recall, which requires determining what constitutes a correctly retrieved document. 3. Adopting a cautious and iterative approach, breaking down the overall task into smaller steps and allowing for human intervention and correction of intermediate results.",2024,Prompt templates and role-based prompts
49,"Evaluating Generative Language Models with Prompt Engineering for Categorizing User Stories to its Sector Domains
Batool Alawaji, Mona Hakami, Bader Alshemaimri
2024 IEEE 9th International Conference for Convergence in Technology (I2CT)
·
2024
·
1 citation","Precision, recall, and F1 score to assess the quality of the sector classification for user stories obtained by the generative language models - Zero-shot and few-shot prompting techniques to evaluate the performance of the gpt-3.5-turbo and Llama-2-chat-hf models",2024,"Few-shot prompting, Zero-shot prompting"
50,"Generating Specifications from Requirements Documents for Smart Devices Using Large Language Models (LLMs)
Rainer Lutze, Klemens Waldhör
Interacción
·
2024
·
2 citations",Not mentioned (the paper does not discuss any specific optimization or assessment strategies for using llms for requirements engineering tasks),2024,Others
51,"Early Results of an AI Multiagent System for Requirements Elicitation and Analysis
Malik Abdul Sami, Muhammad Waseem, Zheying Zhang, Zeeshan Rasheed, Kari Systä, Pekka Abrahamsson
International Conference on Product Focused Software Process Improvement
·
2024
·
1 citation","Not mentioned (the paper does not discuss any specific ""optimization and assessment strategies"" for using llms for requirements engineering tasks)",2024,Others
52,"Could a Large Language Model Contribute Significantly to Requirements Analysis?
Steven Alter
BPMDS/EMMSAD@CAiSE
·
2024
·
1 citation","1) Applying structured prompts to ChatGPT-4 to generate initial responses 2) Exploring approaches to refine and consolidate those initial responses, such as: - Consolidating to a single response - Producing longer consolidated responses - Identifying unique ideas from the different treatments",2024,Prompt templates and role-based prompts
