Paper no;Paper name;Venue;Year;Abstract
13;"Requirements-driven Slicing of Simulink Models
Using LLMs";REW;2024;"Model slicing is a useful technique for identifying a
subset of a larger model that is relevant to fulfilling a given
requirement. Notable applications of slicing include reducing
inspection effort when checking design adequacy to meet requirements
of interest and when conducting change impact analysis. In
this paper, we present a method based on large language models
(LLMs) for extracting model slices from graphical Simulink
models. Our approach converts a Simulink model into a textual
representation, uses an LLM to identify the necessary Simulink
blocks for satisfying a specific requirement, and constructs a
sound model slice that incorporates the blocks identified by the
LLM. We explore how different levels of granularity (verbosity)
in transforming Simulink models into textual representations,
as well as the strategy used to prompt the LLM, impact the
accuracy of the generated slices. Our preliminary findings suggest
that prompts created by textual representations that retain
the syntax and semantics of Simulink blocks while omitting
visual rendering information of Simulink models yield the most
accurate slices. Furthermore, the chain-of-thought and zero-shot
prompting strategies result in the largest number of accurate
model slices produced by our approach."
14;"Using LLMs in Software Requirements
Specifications: An Empirical Evaluation";RE;2024;"The creation of a Software Requirements Specification
(SRS) document is important for any software development
project. Given the recent prowess of Large Language Models
(LLMs) in answering natural language queries and generating
sophisticated textual outputs, our study explores their capability
to produce accurate, coherent, and structured drafts of these
documents to accelerate the software development lifecycle. We
assess the performance of GPT-4 and CodeLlama in drafting
an SRS for a university club management system and compare
it against human benchmarks using eight distinct criteria. Our
results suggest that LLMs can match the output quality of an
entry-level software engineer to generate an SRS, delivering
complete and consistent drafts. We also evaluate the capabilities
of LLMs to identify and rectify problems in a given requirements
document. Our experiments indicate that GPT-4 is capable of
identifying issues and giving constructive feedback for rectifying
them, while CodeLlama’s results for validation were not as
encouraging.We repeated the generation exercise for four distinct
use cases to study the time saved by employing LLMs for
SRS generation. The experiment demonstrates that LLMs may
facilitate a significant reduction in development time for entrylevel
software engineers. Hence, we conclude that the LLMs can
be gainfully used by software engineers to increase productivity
by saving time and effort in generating, validating and rectifying
software requirements."
15;"GPT-Powered Elicitation Interview Script Generator
for Requirements Engineering Training";RE;2024;"Elicitation interviews are the most common requirements
elicitation technique, and proficiency in conducting these
interviews is crucial for requirements elicitation. Traditional
training methods, typically limited to textbook learning, may
not sufficiently address the practical complexities of interviewing
techniques. Practical training with various interview scenarios is
important for understanding how to apply theoretical knowledge
in real-world contexts. However, there is a shortage of educational
interview material, as creating interview scripts requires both
technical expertise and creativity. To address this issue, we
develop a specialized GPT agent for auto-generating interview
scripts. The GPT agent is equipped with a dedicated knowledge
base tailored to the guidelines and best practices of requirements
elicitation interview procedures. We employ a prompt chaining
approach to mitigate the output length constraint of GPT to
be able to generate thorough and detailed interview scripts.
This involves dividing the interview into sections and crafting
distinct prompts for each, allowing for the generation of complete
content for each section. The generated scripts are assessed
through standard natural language generation evaluation metrics
and an expert judgment study, confirming their applicability in
requirements engineering training."
16;"Generating Requirements Elicitation Interview
Scripts with Large Language Models";REW;2023;"Requirements elicitation interviews are the most
popular requirements elicitation technique and an integral part
of requirements engineering education. Good and bad interview
scripts provide students with examples of applying the theory.
Constructing an interview script requires technical knowledge,
practical experience, and creativity. As a result, only a few
educational interview scripts are available to the community.
This paper explores automatically generating interview scripts
with large language models through prompt engineering. Our
contribution is two-fold: First, we present a graph representation
of interactive interview scripts. Second, we apply prompt
engineering techniques to generate business domain descriptions,
linear scripts, and conversation pieces focused on certain types of
mistakes. Our findings indicate that large language models face
challenges in handling interview conversation graphs. However,
we can enhance the quality of the generated interview scripts by
decomposing the task into smaller components and refining the
prompts to provide more precise instructions."
17;"Zero-shot Learning for Named Entity Recognition
in Software Specification Documents";RE;2023;"Named entity recognition (NER) is a natural language
processing task that has been used in Requirements
Engineering for the identification of entities such as actors,
actions, operators, resources, events, GUI elements, hardware,
APIs, and others. NER might be particularly useful for extracting
key information from Software Requirements Specification
documents, which provide a blueprint for software development.
However, a common challenge in this domain is the lack of
annotated data. In this article, we propose and analyze two
zero-shot approaches for NER in the requirements engineering
domain. These are found to be particularly effective in situations
where labeled data is scarce or non-existent. The first approach
is a template-based zero-shot learning mechanism that uses
the prompt engineering approach and achieves 93% accuracy
according to our experimental results. The second solution takes
an orthogonal approach by transforming the entity recognition
problem into a question-answering task which results in 98%
accuracy. Both zero-shot NER approaches introduced in this
work perform better than the existing state-of-the-art solutions
in the requirements engineering domain."
18;"Agile Methodology for the Standardization of Engineering
Requirements Using Large Language Models";SE;2023;"The increased complexity of modern systems is calling for an integrated and comprehensive
approach to system design and development and, in particular, a shift toward Model-Based
Systems Engineering (MBSE) approaches for system design. The requirements that serve as the
foundation for these intricate systems are still primarily expressed in Natural Language (NL), which
can contain ambiguities and inconsistencies and suffer from a lack of structure that hinders their
direct translation into models. The colossal developments in the field of Natural Language Processing
(NLP), in general, and Large Language Models (LLMs), in particular, can serve as an enabler for
the conversion of NL requirements into machine-readable requirements. Doing so is expected to
facilitate their standardization and use in a model-based environment. This paper discusses a twofold
strategy for converting NL requirements into machine-readable requirements using language
models. The first approach involves creating a requirements table by extracting information from
free-form NL requirements. The second approach consists of an agile methodology that facilitates the
identification of boilerplate templates for different types of requirements based on observed linguistic
patterns. For this study, three different LLMs are utilized. Two of these models are fine-tuned versions
of Bidirectional Encoder Representations from Transformers (BERTs), specifically, aeroBERT-NER
and aeroBERT-Classifier, which are trained on annotated aerospace corpora. Another LLM, called
flair/chunk-english, is utilized to identify sentence chunks present in NL requirements. All three
language models are utilized together to achieve the standardization of requirements. The effectiveness
of the methodologies is demonstrated through the semi-automated creation of boilerplates for
requirements from Parts 23 and 25 of Title 14 Code of Federal Regulations (CFRs)."
19;"Improving requirements completeness: automated assistance
through large language models";REJ;2024;"Natural language (NL) is arguably the most prevalent medium for expressing systems and software requirements. Detecting
incompleteness in NL requirements is a major challenge. One approach to identify incompleteness is to compare requirements
with external sources. Given the rise of large language models (LLMs), an interesting question arises: Are LLMs
useful external sources of knowledge for detecting potential incompleteness in NL requirements? This article explores this
question by utilizing BERT. Specifically, we employ BERT’s masked language model to generate contextualized predictions
for filling masked slots in requirements. To simulate incompleteness, we withhold content from the requirements and assess
BERT’s ability to predict terminology that is present in the withheld content but absent in the disclosed content. BERT can
produce multiple predictions per mask. Our first contribution is determining the optimal number of predictions per mask,
striking a balance between effectively identifying omissions in requirements and mitigating noise present in the predictions.
Our second contribution involves designing a machine learning-based filter to post-process BERT’s predictions and further
reduce noise. We conduct an empirical evaluation using 40 requirements specifications from the PURE dataset. Our findings
indicate that: (1)""BERT’s predictions effectively highlight terminology that is missing from requirements, (2)""BERT outperforms
simpler baselines in identifying relevant yet missing terminology, and (3)""our filter reduces noise in the predictions,
enhancing BERT’s effectiveness for completeness checking of requirements."
20;"PRCBERT: Prompt Learning for Requirement Classification using
BERT-based Pretrained Language Models";ASE;2023;"Software requirement classification is a longstanding and important
problem in requirement engineering. Previous studies have
applied various machine learning techniques for this problem, including
Support Vector Machine (SVM) and decision trees. With
the recent popularity of NLP technique, the state-of-the-art approach
NoRBERT utilizes the pre-trained language model BERT and
achieves a satisfactory performance. However, the dataset PROMISE
used by the existing approaches for this problem consists of only
hundreds of requirements that are outdated according to today’s
technology and market trends. Besides, the NLP technique applied
in these approaches might be obsolete. In this paper, we propose
an approach of prompt learning for requirement classification using
BERT-based pretrained language models (PRCBERT), which
applies flexible prompt templates to achieve accurate requirements
classi!cation. Experiments conducted on two existing small-size requirement
datasets (PROMISE and NFR-REVIEW) and our collected
large-scale requirement dataset NFR-SO prove that PRCBERT exhibits
moderately better classi!cation performance than NoRBERT
and MLM-BERT (BERT with the standard prompt template). On
the de-labeled NFR-REVIEW""% and NFR-SO datasets, Trans_PRCBERT
(the version of PRCBERT which is !ne-tuned on PROMISE) is able
to have a satisfactory zero-shot performance with 53.27% and 72.96%
F1-score when enabling a self-learning strategy."
21;"Requirements Modeling Aided by ChatGPT: An
Experience in Embedded Systems";REW;2023;"Requirements modeling is a crucial tool for requirements
analysis and has been demonstrated to aid in the comprehension
and analysis of requirements. However, constructing
requirements models from natural language descriptions in user
requirements documents can be a time-consuming task. With
the growing attention given to large language models, they have
become an integral component of natural language processing.
Consequently, utilizing large language models to facilitate the
construction of high-quality requirement models is appealing.
This paper presents an automated framework for requirement
model generation that incorporates ChatGPT-based zero-shot
learning to extract requirement models from requirement texts
and subsequently compose them using predefined rules. The
framework defines the requirement extraction task of ChatGPT
by designing appropriate prompt, and it generates requirement
models by employing composition rules. Furthermore, a case
study on a digital home system is conducted to validate the
feasibility of the framework in assisting requirements modeling."
22;"The Current Challenges of So!ware Engineering in the Era of
Large Language Models";Arxiv;2024;"With the advent of large language models (LLMs) in the arti!cial intelligence (AI) area, the field of software
engineering (SE) has also witnessed a paradigm shift. These models, by leveraging the power of deep learning
and massive amounts of data, have demonstrated an unprecedented capacity to understand, generate, and
operate programming languages. They can assist developers in completing a broad spectrum of software
development activities, encompassing software design, automated programming, and maintenance, which
potentially reduces huge human efforts. Integrating LLMs within the SE landscape (LLM4SE) has become a
burgeoning trend, necessitating exploring this emergent landscape’s challenges and opportunities.
The paper aims at revisiting the software development life cycle (SDLC) under LLMs, and highlighting
challenges and opportunities of the new paradigm. The paper !rst summarizes the overall process of LLM4SE,
and then elaborates on the current challenges based on a through discussion. The discussion was held among
more than 20 participants from academia and industry, specializing in fields such as software engineering
and artifcial intelligence. Speci!cally, we achieve 26 key challenges from seven aspects, including software
requirement & design, coding assistance, testing code generation, code review, code maintenance, software
vulnerability management, and data, training, and evaluation. We hope the achieved challenges would benefit
future research in the LLM4SE field."
23;"Using LLMs for Use Case Modelling of IoT Systems:
An Experience Report";MODELS;2024;"Requirements engineering (RE) plays an essential role in the success
of system and software development. Textual use case models are
valuable for capturing diverse scenarios describing the interactions
between the system and its actors, but their development, particularly
for the Internet of Things (IoT), can be tedious and error-prone
due to the added complexities and heterogeneous nature of such systems.
Automating requirements elicitation and specification tasks
with the use of generative AI is highly desirable. This paper explores
the potential of large language models (LLMs) for generating interaction
models for IoT systems from informal problem descriptions.
We investigate the capabilities of OpenAI’s GPT-4 and Google’s
Gemini for generating standard and UCM4IoT textual use cases
by carrying out a comparative study using four IoT applications.
While both of these LLMs show promise as supporting tools, our
findings indicate a need for further refinement and domain-speci!c
training to enhance their precision and reliability in requirements
development for the IoT domain."
24;"Chapter 11: Legal Requirements Analysis: A
Regulatory Compliance Perspective";Arxiv;2024;"Modern software has been an integral part of everyday activities
in many disciplines and application contexts. Introducing intelligent
automation by leveraging artificial intelligence (AI) led to breakthroughs
in many fields. The e!ectiveness of AI can be attributed to
several factors, among which is the increasing availability of data. Regulations
such as the general data protection regulation (GDPR) in the
European Union (EU) are introduced to ensure the protection of personal
data. Software systems that collect, process, or share personal data
are subject to compliance with such regulations. Developing compliant
software depends heavily on addressing legal requirements stipulated in
applicable regulations, a central activity in the requirements engineering
(RE) phase of the software development process. RE is concerned with
specifying and maintaining requirements of a system-to-be, including legal
requirements. Legal agreements which describe the policies organizations
implement for processing personal data can provide an additional
source to regulations for eliciting legal requirements. In this chapter, we
explore a variety of methods for analyzing legal requirements and exemplify
them on GDPR. Specifically, we describe possible alternatives
for creating machine-analyzable representations from regulations, survey
the existing automated means for enabling compliance verification
against regulations, and further reflect on the current challenges of legal
requirements analysis."
25;"Can AI Help with the Formalization of Railway
Cybersecurity Requirements?";ISoLA;2024;"Driven by and dependent on ICT, like almost everything
today, railway transportation has become a critical infrastructure and,
as such, is exposed to threats against communication of on-board and
wayside components. The shift to cybersecurity brings up the need to
comply with new security requirements, and once more security software
engineers are confronted with a well-known problem: how to express informal
requirements into unambiguous formal expressions that can be
translated into enforceable policies or be used to verify the security of
a system design. We have experience in translating natural language requirements
from standards, regulations, and guidelines into Controlled
Natural Language for Data Sharing Agreements (CNL4DSA), a formalism
that serves the purpose of bridging natural and formal expressions.
The translation of requirements is challenging, calling for a rigorous process
of coding agreement between researchers. Following the trend of the
time, in this paper, we question whether AI and, in particular, the novel
Generative Language Models, can help us with this translation exercise.
Previous work shows that AI can help in writing security code, although
not always producing secure code; less studied is the quality of generative
AI’s working with controlled natural languages in writing requirements
for security compliance. Can AI be a valuable tool or companion in this
endeavour too? To answer this question, we engage ChatGPT and Microsoft
365 Copilot with the same challenges that we faced when translating
cybersecurity requirements for railway systems into CNL4DSA.
Comparing our results from some time ago with those of the machine,
we found surprising insights, showing the high potentiality of using AI
in requirements engineering."
26;"Model Generation with LLMs:
from Requirements to UML Sequence Diagram";REW;2024;"Complementing natural language (NL) requirements
with graphical models can improve stakeholders’ communication
and provide directions for system design. However,
creating models from requirements involves manual effort. The
advent of generative large language models (LLMs), ChatGPT
being a notable example, offers promising avenues for automated
assistance in model generation. This paper investigates the capability
of ChatGPT to generate a specific type of model, i.e., UML
sequence diagrams, from NL requirements. We conduct a qualitative
study in which we examine the sequence diagrams generated
by ChatGPT for 28 requirements documents of various types and
from different domains. Observations from the analysis of the
generated diagrams have systematically been captured through
evaluation logs, and categorized through thematic analysis. Our
results indicate that, although the models generally conform to
the standard and exhibit a reasonable level of understandability,
their completeness and correctness with respect to the specified
requirements often present challenges. This issue is particularly
pronounced in the presence of requirements smells, such as
ambiguity and inconsistency. The insights derived from this study
can influence the practical utilization of LLMs in the RE process,
and open the door to novel RE-specific prompting strategies
targeting effective model generation."
27;"Toward Regulatory Compliance: A few-shot
Learning Approach to Extract Processing Activities";REW;2024;"The widespread use of mobile applications has
driven the growth of the industry, with companies relying
heavily on user data for services like targeted advertising and
personalized offerings. In this context, privacy regulations such as
the General Data Protection Regulation (GDPR) play a crucial
role. One of the GDPR requirements is the maintenance of a
Record of Processing Activities (RoPA) by companies. RoPA
encompasses various details, including the description of data
processing activities, their purposes, types of data involved, and
other relevant external entities. Small app-developing companies
face challenges in meeting such compliance requirements due to
resource limitations and tight timelines. To aid these developers
and prevent fines, we propose a method to generate segments of
RoPA from user-authored usage scenarios using large language
models (LLMs). Our method employs few-shot learning with
GPT-3.5 Turbo to summarize usage scenarios and generate RoPA
segments. We evaluate different factors that can affect fewshot
learning performance consistency for our summarization
task, including the number of examples in few-shot learning
prompts, repetition, and order permutation of examples in the
prompts. Our findings highlight the significant influence of the
number of examples in prompts on summarization F1 scores,
while demonstrating negligible variability in F1 scores across
multiple prompt repetitions. Our prompts achieve successful
summarization of processing activities with an average 70%
ROUGE-L F1 score. Finally, we discuss avenues for improving
results through manual evaluation of the generated summaries."
28;"Advancing Requirements Engineering through
Generative AI: Assessing the Role of LLMs";SpringerNature;2024;"Requirements Engineering (RE) is a critical phase in software development
including the elicitation, analysis, specification, and validation of software
requirements. Despite the importance of RE, it remains a challenging process due to
the complexities of communication, uncertainty in the early stages, and inadequate
automation support. In recent years, large language models (LLMs) have shown
significant promise in diverse domains, including natural language processing,
code generation, and program understanding. This chapter explores the potential
of LLMs in driving RE processes, aiming to improve the efficiency and accuracy
of requirements-related tasks. We propose key directions and SWOT analysis for
research and development in using LLMs for RE, focusing on the potential for
requirements elicitation, analysis, specification, and validation. We further present
the results from a preliminary evaluation, in this context."
